date,team,player,value,player_team,cum_sum,pk
2024-01-30,Luton Town,Elijah Adebayo,3,elijahadebayo_lutontown,8.0,0.0
2024-01-30,Crystal Palace,Michael Olise,1,michaelolise_crystalpalace,6.0,1.0
2024-01-30,Aston Villa,Ollie Watkins,1,olliewatkins_astonvilla,10.0,0.0
2024-01-31,Liverpool,Diogo Jota,1,diogojota_liverpool,8.0,0.0
2024-01-31,Manchester City,Julian Alvarez,2,julianalvarez_manchestercity,8.0,1.0
2024-01-31,Tottenham,Richarlison,1,richarlison_tottenham,8.0,0.0
2024-02-01,Bournemouth,Dominic Solanke,1,dominicsolanke_bournemouth,13.0,1.0
2024-02-01,Manchester Utd,Rasmus Hojlund,1,rasmushojlund_manchesterutd,3.0,0.0
2024-02-03,Luton Town,Carlton Morris,1,carltonmorris_lutontown,5.0,3.0
2024-02-03,Luton Town,Elijah Adebayo,1,elijahadebayo_lutontown,9.0,0.0
2024-02-03,Crystal Palace,Jean-Philippe Mateta,1,jeanphilippemateta_crystalpalace,3.0,1.0
2024-02-03,Aston Villa,Leon Bailey,1,leonbailey_astonvilla,7.0,0.0
2024-02-03,Aston Villa,Ollie Watkins,1,olliewatkins_astonvilla,11.0,0.0
2024-02-03,Tottenham,Richarlison,2,richarlison_tottenham,10.0,0.0
2024-02-04,Arsenal,Bukayo Saka,1,bukayosaka_arsenal,8.0,2.0
2024-02-04,Chelsea,Cole Palmer,1,colepalmer_chelsea,10.0,5.0
2024-02-04,Arsenal,Leandro Trossard,1,leandrotrossard_arsenal,5.0,0.0
2024-02-04,Wolves,Matheus Cunha,3,matheuscunha_wolves,9.0,1.0
2024-02-04,Manchester Utd,Rasmus Hojlund,1,rasmushojlund_manchesterutd,4.0,0.0
2024-02-05,Manchester City,Phil Foden,3,philfoden_manchestercity,8.0,0.0
2024-02-10,Luton Town,Carlton Morris,1,carltonmorris_lutontown,6.0,4.0
2024-02-10,Liverpool,Darwin Nunez,1,darwinnunez_liverpool,8.0,0.0
2024-02-10,Liverpool,Diogo Jota,1,diogojota_liverpool,9.0,0.0
2024-02-10,Manchester City,Erling Haaland,2,erlinghaaland_manchestercity,16.0,3.0
2024-02-11,Arsenal,Bukayo Saka,2,bukayosaka_arsenal,10.0,3.0
2024-02-11,Arsenal,Leandro Trossard,1,leandrotrossard_arsenal,6.0,0.0
2024-02-11,Manchester Utd,Rasmus Hojlund,1,rasmushojlund_manchesterutd,5.0,0.0
2024-02-17,Newcastle Utd,Anthony Gordon,1,anthonygordon_newcastleutd,8.0,1.0
2024-02-17,Arsenal,Bukayo Saka,2,bukayosaka_arsenal,12.0,4.0
2024-02-17,Liverpool,Darwin Nunez,1,darwinnunez_liverpool,9.0,0.0
2024-02-17,Bournemouth,Dominic Solanke,1,dominicsolanke_bournemouth,14.0,1.0
2024-02-17,Arsenal,Kai Havertz,1,kaihavertz_arsenal,5.0,1.0
2024-02-17,Arsenal,Leandro Trossard,1,leandrotrossard_arsenal,7.0,0.0
2024-02-17,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,15.0,4.0
2024-02-17,Aston Villa,Ollie Watkins,2,olliewatkins_astonvilla,13.0,0.0
2024-02-18,Luton Town,Carlton Morris,1,carltonmorris_lutontown,7.0,4.0
2024-02-18,Manchester Utd,Rasmus Hojlund,2,rasmushojlund_manchesterutd,7.0,0.0
2024-02-20,Manchester City,Erling Haaland,1,erlinghaaland_manchestercity,17.0,3.0
2024-02-24,Arsenal,Bukayo Saka,1,bukayosaka_arsenal,13.0,4.0
2024-02-24,Crystal Palace,Jean-Philippe Mateta,1,jeanphilippemateta_crystalpalace,4.0,2.0
2024-02-24,Arsenal,Kai Havertz,1,kaihavertz_arsenal,6.0,1.0
2024-02-24,Aston Villa,Leon Bailey,1,leonbailey_astonvilla,8.0,0.0
2024-02-24,Aston Villa,Ollie Watkins,1,olliewatkins_astonvilla,14.0,0.0
2024-02-24,Manchester City,Phil Foden,1,philfoden_manchestercity,9.0,0.0
2024-02-26,West Ham,Jarrod Bowen,3,jarrodbowen_westham,14.0,0.0
2024-02-26,Brentford,Yoane Wissa,1,yoanewissa_brentford,5.0,0.0
